日期,沪深300,中证全指,中证500,300价值,300成长,中证红利,300SNLV,盈利质量,300动量,300能源,300原材料,300工业,300可选消费,300主要消费,300医药卫生,300信息技术,300通信服务,300公用事业,300房地产,300金融,北证50,创业板50,中证A50,上国改革
2005-07-06,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-13,0.0013704011081348,-0.004729133912628747,-0.012610348951265005,0.0005363196231771283,0.006820940841511414,-0.0022027891951833523,-0.0047236195307910345,-0.013515539256364173,0.008193547300899606,0.004462756325551931,-0.0023981499081290325,-0.01402768459338255,0.0008719694407290923,0.0125897986659953,-0.01537836892674449,-0.01119073849031027,0.013220737232479518,0.002529443863398706,-0.006703680470381279,,,,,
2005-07-20,-0.010535288201480086,-0.023817931869489883,-0.040389469888207796,-0.006918893093633693,-0.0006650397288949783,-0.017440754286197513,-0.018200825372872043,-0.035015643613254044,-0.001998341209803467,-0.01828026078986067,-0.007688081726753948,-0.005088625653239309,-0.03178520493582193,-0.027185717475590288,-0.017246932122937708,-0.033060097782848574,0.019260519567803946,-0.02519376548564689,-0.019759765987061195,,,,,
2005-07-27,0.055511671371382576,0.055216051575894154,0.0520516474867585,0.05000469362371196,0.04796680690018351,0.05353684999969266,0.05420380913829459,0.05646243008630081,0.044375034859724494,0.09125142686981991,0.04314488514538439,0.04754976661586996,0.04053629982580187,0.040290565742455486,0.049243039114495124,0.07835093998954701,0.06921511843766237,0.05627597358219494,0.11113390430278458,,,,,
2005-08-03,0.027328283940785347,0.03142973458587006,0.03777953010635282,0.021177088513524955,0.02628164067676808,0.02775378977955678,0.02198967156006182,0.043636344278352945,0.02038761842709591,0.036281772133188284,0.03783239866979171,0.025552179652756246,0.03711989955285033,0.02106374283228485,0.019172108202147875,0.03559468906970609,-0.0011611820722376986,0.013273312959444894,0.03879638604264746,,,,,
2005-08-10,0.028173698866619468,0.0404582078257385,0.060891222532869715,0.0286555371340087,0.02402673044381265,0.03244889674886542,0.028524444662250792,0.056004998852304366,0.017015285494089705,0.054437330963392094,0.029314564759855388,0.024720073716248292,0.03957461076707136,0.01625339482071908,0.010949480021423597,0.07964884164545194,0.0019579486038492355,0.020188516728210537,0.04012996209438913,,,,,
2005-08-17,0.010643588180564212,0.022835270024358367,0.03163958360753072,0.010074789620945213,0.019341008086338318,0.017766999901019487,0.020768921265511775,0.029764593079562696,0.01720664181005538,0.02046762327919005,0.013853589613253892,0.012935204083023066,0.01751982326043411,0.03147463979103904,0.012683725621295716,0.023517086915685104,0.0009881642351163844,0.05947089045200449,-0.008140304787535024,,,,,
2005-08-24,-0.017748254671185126,-0.018092380453090362,-0.0248273242980227,-0.013068229693292799,-0.007559200420614198,-0.010811248885646996,-0.023987220646124907,-0.025074289413260176,-0.008588066255856064,-0.008389415723462634,-0.009741188600628337,-0.020461087348344176,-0.018805893111612404,-0.02050913247892283,-0.011179217175037559,-0.0030000352945327435,-0.028825356330763663,-0.015271877121094013,-0.013862457504165482,,,,,
2005-08-31,-0.00814435766226762,0.001905622010928143,0.016091639284410375,-0.013161229733227087,-0.018087573460478734,-0.0125898494680039,-0.0017084161414770982,0.020948705981976623,-0.013865039127783474,-0.021758970047996318,-0.01838397244835488,-0.005459678571036353,-0.0032306020927439505,-0.0021907167183254916,-0.003250785818765145,-0.006333513555263903,-0.01094153758298233,-0.0026677558939536272,-0.009277835553845093,,,,,
2005-09-07,0.024584822252875504,0.03328920850258066,0.04633963032497013,0.018203201038174743,0.01777808339460374,0.01974786894495484,0.025036662062284165,0.035853813709088245,0.016463684418880797,0.015765061428289817,0.022469847393864928,0.030043961384673246,0.03345475405134102,0.02696231172641239,0.030581543212679918,0.013690244850369293,0.012133617018819542,0.010888985588860312,0.0820039784217459,,,,,
