行业名称,风格因子,回归系数,t值,p值,样本周数,R方,残差年化波动率
300能源,价值,0.4820257671798144,5.647712258880764,1.6259702088004853e-08,1093,0.3110874718199954,0.15677214328527345
300能源,成长,-0.09342257503412389,-0.9562725092000044,0.3389345750555835,1093,0.3110874718199954,0.15677214328527345
300能源,红利,0.8329262862379878,12.58003368397681,2.7191391347283473e-36,1093,0.3110874718199954,0.15677214328527345
300能源,低波,-0.1322455488261342,-1.4981967908965157,0.13408212917108053,1093,0.3110874718199954,0.15677214328527345
300能源,质量,-0.14806690338730066,-3.444116320770047,0.0005729291565287066,1093,0.3110874718199954,0.15677214328527345
300能源,动量,0.007740087350621474,0.13616592784328563,0.8916901098913483,1093,0.3110874718199954,0.15677214328527345
300原材料,价值,-0.2891841023330455,-4.1656492218781365,3.104677667945314e-05,1093,0.20923898158934795,0.1275154832851042
300原材料,成长,-0.040259175386919706,-0.5066414137835551,0.6124064446443697,1093,0.20923898158934795,0.1275154832851042
300原材料,红利,0.6249006507611676,11.603584982566838,3.95170159251718e-31,1093,0.20923898158934795,0.1275154832851042
300原材料,低波,-0.3469607272416245,-4.83252481918196,1.3481229876060755e-06,1093,0.20923898158934795,0.1275154832851042
300原材料,质量,0.06190892498926469,1.7704311994318762,0.07665533618387944,1093,0.20923898158934795,0.1275154832851042
300原材料,动量,0.026958947685191182,0.583084501966395,0.5598364162116707,1093,0.20923898158934795,0.1275154832851042
300工业,价值,-0.2888334929570121,-6.050606428982565,1.4430159260887574e-09,1093,0.23609506086646004,0.08768389859927002
300工业,成长,-0.25883405221786004,-4.736966281649741,2.1694124322297028e-06,1093,0.23609506086646004,0.08768389859927002
300工业,红利,0.13737296730027304,3.709586989188239,0.00020759762206181827,1093,0.23609506086646004,0.08768389859927002
300工业,低波,-0.1532697080752572,-3.1045107929607934,0.0019059397388695883,1093,0.23609506086646004,0.08768389859927002
300工业,质量,0.15670445283870157,6.517037183844094,7.170965476420205e-11,1093,0.23609506086646004,0.08768389859927002
300工业,动量,-0.004765161622558814,-0.14988192690572272,0.8808577708746914,1093,0.23609506086646004,0.08768389859927002
300可选消费,价值,-0.36507103009438935,-6.154823072925681,7.516135642594504e-10,1093,0.1633000227770275,0.10895144670594141
300可选消费,成长,-0.12029725623057008,-1.7718275636668601,0.07642318557425123,1093,0.1633000227770275,0.10895144670594141
300可选消费,红利,0.12911001759756774,2.805892773296624,0.005017738669679781,1093,0.1633000227770275,0.10895144670594141
300可选消费,低波,-0.0013221889538510972,-0.02155347093256844,0.9828041497162506,1093,0.1633000227770275,0.10895144670594141
300可选消费,质量,0.14756375320306836,4.9389588084085085,7.854079933872766e-07,1093,0.1633000227770275,0.10895144670594141
300可选消费,动量,0.0082507040268072,0.20885721871749888,0.8345597020997413,1093,0.1633000227770275,0.10895144670594141
