风格因子,贝塔分化度,平均绝对t值,显著正向行业数,显著负向行业数,高贝塔行业,低贝塔行业,高低贝塔组合年化收益差,高低贝塔组合信息比率,高低贝塔组合胜率,有效周数
价值,0.8166003140920665,8.507941173108845,3,7,300能源、300房地产、300金融,300信息技术、300医药卫生、300主要消费,-0.04504190007817689,-0.19673764697469778,0.46111619396157366,1093
成长,0.25930840881598916,2.5966954559892312,1,5,300房地产、300主要消费、300医药卫生,300通信服务、300公用事业、300信息技术,0.007390775725121183,0.04168774223771549,0.49954254345837146,1093
红利,0.39021210210826507,5.281813729168376,6,2,300公用事业、300原材料、300能源,300金融、300信息技术、300通信服务,-0.037779846170476125,-0.21960620488199895,0.49039341262580055,1093
低波,0.419403040288101,3.8854692141083094,4,3,300主要消费、300医药卫生、300公用事业,300房地产、300原材料、300工业,0.02711416399526613,0.1711147273798768,0.505032021957914,1093
质量,0.16843999391171724,3.6346903908739154,5,2,300医药卫生、300房地产、300信息技术,300主要消费、300能源、300金融,-0.0044456099460119134,-0.026961895117389556,0.49039341262580055,1093
动量,0.12282487524843455,1.438209938772002,2,2,300公用事业、300医药卫生、300主要消费,300信息技术、300房地产、300工业,0.020176278385300356,0.13654025292561364,0.5132662397072278,1093
