风格因子,贝塔分化度,平均绝对t值,显著正向生命周期阶段数,显著负向生命周期阶段数,高贝塔生命周期阶段,低贝塔生命周期阶段,高低贝塔组合年化收益差,高低贝塔组合信息比率,高低贝塔组合胜率,有效周数
价值,0.5499103945220092,5.056322773835589,1,2,初创期,成长期,-0.08121830885449467,-0.25775410957124034,0.42790697674418604,215
成长,0.36686567003358606,4.871161843478863,2,1,成长期,调整期,0.07042210709538942,0.3173181671809242,0.5007849293563579,637
红利,0.40354314199991786,3.723484322959213,1,1,调整期,初创期,-0.07856835086563438,-0.23221379039657702,0.5906976744186047,215
低波,0.1677759583152306,1.8614802067402867,0,1,成熟期,初创期,-0.07734838578590907,-0.23783035268296943,0.6046511627906976,215
质量,0.4686657505700765,6.430543054880036,3,1,初创期,成熟期,0.07734838578590907,0.23783035268296943,0.39069767441860465,215
动量,0.46632412276136126,3.4200478760952797,2,2,调整期,初创期,-0.07856835086563438,-0.23221379039657702,0.5906976744186047,215
