企业生命周期阶段,风格因子,回归系数,t值,p值,样本周数,R方,残差年化波动率
初创期,价值,0.13386478881657288,0.2873167761437058,0.7738697784436475,215,0.2171321315460163,0.2866099932348163
初创期,成长,-0.18511256939208232,-0.3468893935854473,0.7286744151747666,215,0.2171321315460163,0.2866099932348163
初创期,红利,-0.5974282140046749,-1.898939362059808,0.05757244919330241,215,0.2171321315460163,0.2866099932348163
初创期,低波,-0.43501201275217993,-1.1872360424848778,0.23513452779912034,215,0.2171321315460163,0.2866099932348163
初创期,质量,0.9684370311496112,5.52792552653851,3.2403954270656086e-08,215,0.2171321315460163,0.2866099932348163
初创期,动量,-0.9066662687868997,-3.961657325716858,7.443131300035002e-05,215,0.2171321315460163,0.2866099932348163
成长期,价值,-1.037621913572433,-10.851784733472261,1.955687979190917e-27,837,0.5383123909412931,0.1483652626000922
成长期,成长,0.26018274504901207,2.3937576234597255,0.016676765060938653,837,0.5383123909412931,0.1483652626000922
成长期,红利,-0.25356459729469527,-3.2229918851962553,0.0012685914754123654,837,0.5383123909412931,0.1483652626000922
成长期,低波,-0.1338805299883047,-1.3636363637309885,0.17268204138895235,837,0.5383123909412931,0.1483652626000922
成长期,质量,0.5773470609455045,11.964956263893542,5.422615398606421e-33,837,0.5383123909412931,0.1483652626000922
成长期,动量,-0.15352343943255953,-2.616235623589203,0.008890518316802407,837,0.5383123909412931,0.1483652626000922
成熟期,价值,0.12118361753401755,4.37353550869632,1.2225034926932527e-05,598,0.2157072004022389,0.038766884583667484
成熟期,成长,0.22741051687224162,6.824465379640615,8.825335324059948e-12,598,0.2157072004022389,0.038766884583667484
成熟期,红利,-0.0023892752814821047,-0.104607461313803,0.916687293920868,598,0.2157072004022389,0.038766884583667484
成熟期,低波,-0.050619629628375545,-1.762742632775935,0.07794390683353676,598,0.2157072004022389,0.038766884583667484
成熟期,质量,-0.05922444839259385,-4.1291177224725315,3.641579251463812e-05,598,0.2157072004022389,0.038766884583667484
成熟期,动量,0.06350860860526455,3.79318290665693,0.00014872852019741042,598,0.2157072004022389,0.038766884583667484
调整期,价值,-0.20819195756972914,-4.712654077030071,2.4451107356316056e-06,637,0.5012508802899829,0.06419397134358629
调整期,成长,-0.5108289773955559,-9.919534977229661,3.423474238253313e-23,637,0.5012508802899829,0.06419397134358629
调整期,红利,0.3585257529960022,9.667398583266987,4.1478743442783475e-22,637,0.5012508802899829,0.06419397134358629
调整期,低波,-0.14699160104427084,-3.1323057879693454,0.00173439131593359,637,0.5012508802899829,0.06419397134358629
调整期,质量,0.09409713151257557,4.10017270661556,4.12841925813309e-05,637,0.5012508802899829,0.06419397134358629
调整期,动量,0.09022999325732924,3.3091156484181266,0.0009359116952992612,637,0.5012508802899829,0.06419397134358629
